Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6831.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0691.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0808.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6807.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6861.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6788.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6793.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0823.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0802.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6824.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6763.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0731.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6742.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0732.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6816.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6735.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0706.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6750.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6817.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6828.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6832.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6783.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6736.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6865.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6838.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0692.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6820.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6870.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6841.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6819.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6738.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6797.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0735.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6860.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6834.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6839.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6737.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6844.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6833.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pilipes/Andrena-pilipes_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6728.JPG,Andrena pilipes
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Coelioxys elongata/Coelioxys-elongata_f_Toulouse-31_31-V-2020_IMG_0618.JPG,Coelioxys elongata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Coelioxys elongata/Coelioxys-elongata_f_Toulouse-31_31-V-2020_IMG_0615.JPG,Coelioxys elongata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Eucera cineraria/Eucera-cineraria_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_5824.JPG,Eucera cineraria
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Eucera cineraria/Eucera-cineraria_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_5830.JPG,Eucera cineraria
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Eucera cineraria/Eucera-cineraria_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_5821.JPG,Eucera cineraria
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7105.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7092.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7107.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7103.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7089.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7109.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus maculatus/Halictus-maculatus_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7106.JPG,Halictus maculatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Seladonia kessleri/Halictus-kessleri_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_6259.JPG,Seladonia kessleri
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Seladonia kessleri/Halictus-kessleri_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2518.JPG,Seladonia kessleri
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Seladonia kessleri/Halictus-kessleri_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2512.JPG,Seladonia kessleri
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Seladonia kessleri/Halictus-kessleri_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2516.JPG,Seladonia kessleri
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena labiata/Andrena-labiata_f_Prades-09_20-V-2021_IMG_2393.JPG,Andrena labiata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplitis adunca/Hoplitis-gr-adunca_f_Prades-09_07-VI-2021_IMG_8181.JPG,Hoplitis adunca
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplitis adunca/Hoplitis-gr-adunca_f_Prades-09_07-VI-2021_IMG_8173.JPG,Hoplitis adunca
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum morio/Lasioglossum-Dialictus-morio_f_Prades-09_10-VI-2020_IMG_2309.JPG,Lasioglossum morio
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus sexcinctus/Halictus-sexcinctus_f_Pibrac-31_26-V-2021_IMG_3997.JPG,Halictus sexcinctus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus sexcinctus/Halictus-sexcinctus_f_Pibrac-31_26-V-2021_IMG_3988.JPG,Halictus sexcinctus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus sexcinctus/Halictus-sexcinctus_f_Pibrac-31_26-V-2021_IMG_3967.JPG,Halictus sexcinctus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Halictus sexcinctus/Halictus-sexcinctus_f_Pibrac-31_26-V-2021_IMG_3968.JPG,Halictus sexcinctus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena limata/Andrena-limata-&&_f_Torreilles-66_26-VI-2021_IMG_2932.JPG,Andrena limata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena limata/Andrena-limata-&&_f_Torreilles-66_26-VI-2021_IMG_2905.JPG,Andrena limata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena limata/Andrena-limata-&&_f_Torreilles-66_26-VI-2021_IMG_2929.JPG,Andrena limata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena limata/Andrena-limata-&&_f_Torreilles-66_26-VI-2021_IMG_2907.JPG,Andrena limata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6453.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6407.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6436.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6344.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6413.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6458.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6459.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6419.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6379.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6426.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6352.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6446.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6383.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6389.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6449.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6425.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6416.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6418.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6368.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6427.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6454.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6438.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceratina chalcites/Ceratina-chalcites_m_Ferrals-les-Corbieres-11_30-V-2021_IMG_6387.JPG,Ceratina chalcites
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5063.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_29-VII-2019_IMG_7896.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_m_Ustou-09_16-VI-2019_IMG_3559.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_16-VII-2019_IMG_6025.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5072.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5062.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_m_Ustou-09_16-VI-2019_IMG_3561.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_29-VII-2019_IMG_7893.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5076.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5060.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_m_Ustou-09_16-VI-2019_IMG_3562.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5074.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5067.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5068.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5071.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_29-VII-2019_IMG_7891.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena hattorfiana/Andrena-hattorfiana_f_Ax-les-Thermes-09_11-VII-2019_IMG_5073.JPG,Andrena hattorfiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes puncticeps/Sphecodes-puncticeps_f_Ferrals-les-Corbieres-11_03-V-2021_IMG_8807.JPG,Sphecodes puncticeps
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes puncticeps/Sphecodes-puncticeps_f_Ferrals-les-Corbieres-11_03-V-2021_IMG_8798.JPG,Sphecodes puncticeps
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes puncticeps/Sphecodes-puncticeps_f_Ferrals-les-Corbieres-11_03-V-2021_IMG_8792.JPG,Sphecodes puncticeps
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pandellei/Andrena-pandellei_m_Ferrals-les-Corbieres-11_21-V-2021_IMG_3329.JPG,Andrena pandellei
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pandellei/Andrena-pandellei_f_Ferrals-les-Corbieres-11_21-V-2021_IMG_2824.JPG,Andrena pandellei
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena pandellei/Andrena-pandellei_f_Ferrals-les-Corbieres-11_21-V-2021_IMG_2810.JPG,Andrena pandellei
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Bombus mesomelas/Bombus-mesomelas_m_Bethmale-09_20-X-2021_IMG_5007.JPG,Bombus mesomelas
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Bombus mesomelas/Bombus-mesomelas_m_Bethmale-09_20-X-2021_IMG_5018.JPG,Bombus mesomelas
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Bombus mesomelas/Bombus-mesomelas_m_Bethmale-09_20-X-2021_IMG_5010.JPG,Bombus mesomelas
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Osmia rufohirta/Osmia-rufohirta_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7003.JPG,Osmia rufohirta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Osmia rufohirta/Osmia-rufohirta_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7013.JPG,Osmia rufohirta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Osmia rufohirta/Osmia-rufohirta_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_7006.JPG,Osmia rufohirta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Osmia rufohirta/Osmia-rufohirta_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6994.JPG,Osmia rufohirta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes gibbus/Sphecodes-gibbus_f_Bethmale-09_20-X-2021_IMG_4948.JPG,Sphecodes gibbus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes gibbus/Sphecodes-gibbus_f_Bethmale-09_20-X-2021_IMG_4969.JPG,Sphecodes gibbus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes gibbus/Sphecodes-gibbus_f_Bethmale-09_20-X-2021_IMG_4950.JPG,Sphecodes gibbus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Sphecodes gibbus/Sphecodes-gibbus_f_Bethmale-09_20-X-2021_IMG_4951.JPG,Sphecodes gibbus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena farinosa/Andrena-farinosa-&&_m_Ferrals-les-Corbieres-11_05-VI-2021_IMG_7328.JPG,Andrena farinosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena farinosa/Andrena-farinosa-&&_m_Ferrals-les-Corbieres-11_05-VI-2021_IMG_7336.JPG,Andrena farinosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Megachile ligniseca/Megachile-ligniseca_f_Ax-les-Thermes-09_03-VIII-2019_IMG_8704.JPG,Megachile ligniseca
